1005,1
1006,2
1007,1
1008,8
1009,1
1010,1
1011,7
1012,7
1013,7
1014,1
1015,1
1016,1
1017,1
1018,7
1019,8
1020,7
1021,7
1022,6
1023,1
1024,7
1025,1
1026,6
1027,1
1028,6
1029,6
1030,1
1031,1
1032,2
1033,1
1034,8
1035,2
1036,6
1037,6
1038,6
1039,6
1040,6
1041,1
1042,6
1043,6
1044,6
1045,6
1046,1
1047,1
1048,7
1049,8
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,2
1058,1
1059,1
1060,7
1061,1
1062,1
1063,6
1064,6
1065,1
1066,2
1067,7
1068,9
1069,1
1070,1
1071,1
1072,1
1073,1
1074,7
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,6
1085,1
1086,1
1087,1
1088,1
1089,2
1090,1
1091,1
1092,7
1093,1
1094,1
1095,1
1096,7
1097,2
1098,1
1099,1
1100,2
1101,6
1102,1
1103,1
1104,1
1105,1
1106,1
1107,6
1108,7
1109,7
1110,1
1111,1
1112,7
1113,8
1114,8
1115,1
1116,8
1117,1
1118,2
1119,1
1120,1
1121,7
1122,1
1123,1
1124,1
1125,1
1126,8
1127,1
1128,1
1129,1
1130,1
1131,1
1132,7
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,2
1141,7
1142,1
1143,8
1144,8
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,2
1153,6
1154,1
1155,8
1156,1
1157,1
1158,2
1159,1
1160,1
1161,1
